"name"	"longitude"	"latitude"	"subspecies"	"medius"	"arizonae"	"numSubsppGroups"	"assigned"
"Vireo bellii"	-99.18	39.67	"unknown"	0	0	0	"none"
"Vireo bellii"	-90.89	43.27	"unknown"	0	0	0	"none"
"Vireo bellii"	-83.75	41.69	"unknown"	0	0	0	"none"
"Vireo bellii"	-93	44.74	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.82	42.4	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.85	43.91	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.88	42.24	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.17	38.96	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.01	41.38	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.69	40.91	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.96	42.76	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.14	38.46	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.8	43.22	"unknown"	0	0	0	"none"
"Vireo bellii"	-89	35.96	"unknown"	0	0	0	"none"
"Vireo bellii"	-101.07	34.42	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.45	38.09	"unknown"	0	0	0	"none"
"Vireo bellii"	-97.08	36.1	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.58	36.1	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.2	39.01	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.94	36.06	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.21	38.91	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.59	35.41	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.57	35.78	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.34	40.65	"unknown"	0	0	0	"none"
"Vireo bellii"	-102.18	39.87	"unknown"	0	0	0	"none"
"Vireo bellii"	-103.67	19.19	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.82	36.32	"unknown"	0	0	0	"none"
"Vireo bellii"	-103.24	24.99	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.31	25.78	"unknown"	0	0	0	"none"
"Vireo bellii"	-83.21	40.07	"unknown"	0	0	0	"none"
"Vireo bellii"	-80.38	42.58	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.69	19.22	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.78	19.29	"unknown"	0	0	0	"none"
"Vireo bellii"	-98.49	38.08	"unknown"	0	0	0	"none"
"Vireo bellii"	-104.68	19.2	"unknown"	0	0	0	"none"
"Vireo bellii bellii"	-123.37	48.58	"unknown"	0	0	0	"none"
